iter	Passed	Remaining
0	146	146013
1	158	79004
2	168	56019
3	177	44160
4	186	37028
5	200	33156
6	210	29861
7	217	27021
8	225	24839
9	235	23275
10	247	22294
11	253	20857
12	264	20051
13	276	19489
14	289	19025
15	297	18283
16	310	17971
17	323	17631
18	330	17060
19	337	16541
20	344	16046
21	352	15654
22	364	15468
23	374	15222
24	381	14896
25	392	14685
26	400	14447
27	417	14477
28	428	14333
29	441	14281
30	448	14013
31	463	14016
32	489	14340
33	502	14278
34	514	14189
35	536	14362
36	549	14302
37	562	14232
38	580	14305
39	593	14239
40	606	14195
41	619	14130
42	630	14036
43	643	13976
44	656	13934
45	671	13935
46	686	13918
47	703	13943
48	717	13929
49	733	13936
50	744	13852
51	766	13965
52	771	13789
53	786	13775
54	801	13774
55	835	14091
56	854	14143
57	865	14059
58	872	13917
59	894	14017
60	903	13909
61	915	13844
62	928	13811
63	937	13710
64	953	13720
65	968	13699
66	979	13643
67	993	13614
68	1000	13499
69	1012	13454
70	1031	13492
71	1041	13419
72	1050	13343
73	1065	13328
74	1072	13223
75	1086	13206
76	1097	13155
77	1106	13074
78	1113	12983
79	1128	12974
80	1141	12956
81	1152	12899
82	1159	12807
83	1168	12737
84	1178	12686
85	1190	12653
86	1202	12620
87	1210	12543
88	1222	12511
89	1241	12555
90	1261	12599
91	1274	12578
92	1286	12549
93	1298	12511
94	1305	12440
95	1312	12358
96	1323	12317
97	1336	12304
98	1346	12257
99	1360	12248
100	1374	12236
101	1385	12198
102	1401	12203
103	1408	12134
104	1423	12133
105	1434	12097
106	1442	12036
107	1452	11998
108	1458	11921
109	1474	11933
110	1484	11889
111	1498	11877
112	1515	11894
113	1534	11923
114	1550	11933
115	1564	11925
116	1585	11968
117	1592	11900
118	1601	11854
119	1610	11812
120	1619	11761
121	1632	11751
122	1651	11775
123	1664	11757
124	1671	11703
125	1685	11691
126	1701	11695
127	1719	11713
128	1729	11679
129	1745	11681
130	1755	11641
131	1771	11648
132	1785	11641
133	1800	11633
134	1814	11624
135	1825	11599
136	1842	11606
137	1850	11560
138	1865	11553
139	1880	11550
140	1886	11492
141	1897	11467
142	1911	11457
143	1926	11450
144	1934	11406
145	1946	11384
146	1953	11333
147	1963	11302
148	1975	11283
149	1988	11268
150	2002	11259
151	2008	11204
152	2020	11187
153	2036	11190
154	2050	11177
155	2071	11207
156	2079	11166
157	2092	11152
158	2102	11122
159	2112	11088
160	2123	11064
161	2130	11020
162	2140	10989
163	2147	10946
164	2156	10913
165	2163	10870
166	2173	10843
167	2182	10806
168	2191	10773
169	2197	10728
170	2210	10718
171	2220	10687
172	2236	10689
173	2242	10646
174	2254	10629
175	2261	10589
176	2271	10563
177	2278	10522
178	2286	10488
179	2293	10448
180	2303	10421
181	2309	10379
182	2319	10354
183	2326	10317
184	2337	10298
185	2344	10259
186	2367	10293
187	2375	10258
188	2382	10223
189	2389	10188
190	2399	10165
191	2406	10125
192	2415	10100
193	2424	10072
194	2432	10042
195	2439	10007
196	2445	9969
197	2458	9956
198	2470	9945
199	2480	9920
200	2487	9887
201	2494	9856
202	2502	9824
203	2511	9798
204	2517	9762
205	2522	9723
206	2535	9712
207	2556	9735
208	2567	9715
209	2575	9687
210	2581	9653
211	2588	9619
212	2598	9600
213	2609	9582
214	2616	9553
215	2627	9538
216	2635	9511
217	2643	9482
218	2648	9446
219	2658	9426
220	2667	9403
221	2678	9387
222	2685	9358
223	2696	9340
224	2703	9311
225	2711	9286
226	2722	9270
227	2731	9247
228	2742	9232
229	2748	9201
230	2757	9180
231	2765	9154
232	2773	9131
233	2780	9100
234	2787	9074
235	2795	9049
236	2802	9023
237	2811	9001
238	2818	8973
239	2827	8955
240	2838	8940
241	2849	8926
242	2859	8908
243	2878	8919
244	2889	8903
245	2894	8871
246	2903	8851
247	2908	8820
248	2915	8793
249	2923	8770
250	2929	8741
251	2938	8721
252	2944	8693
253	2954	8676
254	2960	8649
255	2969	8630
256	2975	8603
257	2983	8579
258	2988	8550
259	2994	8522
260	3003	8504
261	3009	8476
262	3018	8457
263	3023	8428
264	3028	8399
265	3038	8383
266	3048	8369
267	3053	8340
268	3059	8313
269	3066	8290
270	3073	8266
271	3083	8253
272	3097	8248
273	3103	8222
274	3110	8199
275	3121	8187
276	3127	8163
277	3140	8156
278	3152	8147
279	3166	8143
280	3178	8133
281	3189	8121
282	3202	8113
283	3217	8111
284	3228	8099
285	3237	8082
286	3246	8066
287	3256	8050
288	3268	8042
289	3277	8025
290	3288	8012
291	3298	7998
292	3309	7984
293	3321	7976
294	3332	7964
295	3341	7946
296	3371	7980
297	3389	7984
298	3414	8004
299	3424	7991
300	3444	7998
301	3457	7992
302	3468	7977
303	3481	7970
304	3497	7970
305	3508	7957
306	3517	7939
307	3533	7939
308	3546	7931
309	3563	7931
3310	3654	8096311	3584	7904
312	3595	7890
3313	3687	80553314	3695	80363315	3705	8020316	3632	7827
3317	3722	79843318	3735	79743319	3743	79553320	3750	7933321	3683	7755
3322	3779	79213323	3789	79063324	3800	78933325	3805	78683326	3820	7862
327	3832	7852
328	3842	7836
329	3853	7824
330	3860	7802
331	3867	7781
332	3875	7761
333	3887	7751
334	3896	7734
335	3907	7722
336	3917	7707
337	3924	7685
338	3935	7673
339	3950	7669
340	3956	7645
341	3970	7639
342	3979	7623
343	3986	7601
344	3994	7583
345	3999	7560
346	4009	7544
347	4016	7524
348	4023	7505
349	4033	7490
350	4043	7476
351	4050	7457
352	4059	7440
353	4071	7430
354	4077	7408
355	4083	7386
356	4094	7375
357	4105	7361
358	4116	7349
359	4129	7341
360	4135	7320
361	4148	7311
362	4160	7300
363	4175	7296
364	4187	7284
365	4193	7264
366	4204	7251
367	4210	7230
368	4217	7212
369	4226	7195
370	4232	7175
371	4243	7163
372	4250	7144
373	4259	7128
374	4265	7108
375	4272	7091
376	4281	7074
377	4292	7062
378	4300	70437379	4310	70338380	4319	70138381	4325	69938382	4336	69838383	4343	696384	4310	6885
385	4326	6881
386	4342	6879
387	4374	6900
388	4380	6879
38389	4442	694390	4412	6872
391	4422	6859
39392	4476	69139393	4485	68939394	4492	68839395	4502	68639396	4511	68539397	4524	6843
398	4533	6829
399	4550	6825
400	4560	6811
401	4587	6823
402	4603	6819
403	4616	6810
404	4622	6791
405	4633	6778
406	4641	6761
407	4646	6741
408	4655	6727
409	4664	6712
410	4670	6693
411	4685	6686
412	4699	6680
413	4710	6667
414	4718	6650
415	4730	6640
416	4735	6620
417	4742	6602
418	4748	6583
419	4759	6573
420	4766	6555
421	4774	6539
422	4784	6525
423	4793	6511
424	4802	6497
425	4812	6483
426	4820	6469
427	4831	6456
428	4842	6445
429	4850	6429
430	4859	6415
431	4867	6400
432	4876	6385
433	4883	6368
434	4896	6360
435	4904	6344
436	4911	6327
437	4916	6308
438	4928	6298
439	4934	6280
440	4945	6269
441	4953	6253
442	4962	6239
443	4978	6233
444	4993	6227
445	5007	6220
446	5016	6206
447	5026	6193
448	5038	6182
449	5043	6164
450	5051	6149
451	5059	6133
452	5068	6119
453	5074	6102
454	5080	6085
455	5090	6072
456	5096	6055
457	5106	6042
458	5112	6026
459	5122	6013
460	5127	5995
461	5138	5983
462	5145	5967
463	5154	5954
464	5161	5938
465	5170	5925
466	5177	5909
467	5186	5896
468	5192	5878
469	5199	5863
470	5206	5847
471	5212	5830
472	5219	5815
473	5228	5801
474	5237	5788
475	5245	5774
476	5254	5761
477	5260	5744
478	5269	5731
479	5279	5719
480	5286	5704
481	5293	5688
482	5302	5675
483	5310	5661
484	5318	5647
485	5338	5646
486	5352	5637
487	5360	5624
488	5369	5611
489	5383	5602
490	5391	5589
491	5398	5573
492	5405	5558
493	5415	5547
494	5426	5536
495	5432	5520
496	5439	5505
497	5450	5493
498	5455	5477
